NAME,NUMPOINTS
Indonesia,5193
Malaysia,85
Chile,51
Bolivia,1421
Peru,664
Argentina,4817
Dhekelia,0
Cyprus,0
India,224
China,1705
Israel,7
Palestine,0
Lebanon,3
Ethiopia,50
S. Sudan,51
Somalia,15
Kenya,120
Malawi,1385
Tanzania,9635
Syria,41
Somaliland,0
France,65
Suriname,2
Guyana,15
South Korea,28
North Korea,6
Morocco,7
W. Sahara,0
Costa Rica,0
Nicaragua,10
Congo,1089
Dem. Rep. Congo,35275
Bhutan,0
Ukraine,422
Belarus,20
Namibia,255
South Africa,1561
St-Martin,0
Sint Maarten,0
Oman,50
Uzbekistan,116
Kazakhstan,387
Tajikistan,11
Lithuania,2
Brazil,15982
Uruguay,128
Mongolia,12
Russia,3255
Czechia,10
Germany,203
Estonia,0
Latvia,1
Norway,23
Sweden,7
Finland,2
Vietnam,24
Cambodia,2
Luxembourg,9
United Arab Emirates,35
Belgium,39
Georgia,13
North Macedonia,12
Albania,29
Azerbaijan,33
Kosovo,11
Turkey,249
Spain,471
Laos,0
Kyrgyzstan,47
Armenia,31
Denmark,20
Libya,434
Tunisia,54
Romania,124
Hungary,16
Slovakia,44
Poland,70
Ireland,1
United Kingdom,288
Greece,7
Zambia,27481
Sierra Leone,0
Guinea,0
Liberia,0
Central African Rep.,21
Sudan,4
Djibouti,0
Eritrea,0
Austria,65
Iraq,823
Italy,387
Switzerland,0
Iran,1246
Netherlands,21
Liechtenstein,0
Côte d'Ivoire,7
Serbia,42
Mali,1
Senegal,0
Nigeria,18
Benin,0
Angola,14426
Croatia,5
Slovenia,4
Qatar,32
Saudi Arabia,123
Botswana,229
Zimbabwe,2966
Pakistan,27
Bulgaria,18
Thailand,5
San Marino,0
Haiti,2
Dominican Rep.,16
Chad,3
Kuwait,27
El Salvador,1
Guatemala,18
Timor-Leste,51
Brunei,0
Monaco,0
Algeria,876
Mozambique,36188
eSwatini,18
Burundi,115
Rwanda,0
Myanmar,8
Bangladesh,1
Andorra,0
Afghanistan,1
Montenegro,5
Bosnia and Herz.,4
Uganda,98
USNB Guantanamo Bay,0
Cuba,96
Honduras,25
Ecuador,86
Colombia,350
Paraguay,772
Brazilian I.,0
Portugal,19
Moldova,10
Turkmenistan,195
Jordan,4
Nepal,0
Lesotho,33
Cameroon,22
Gabon,201
Niger,0
Burkina Faso,0
Togo,0
Ghana,2
Guinea-Bissau,0
Gibraltar,0
United States of America,3629
Canada,7483
Mexico,158
Belize,1
Panama,1
Venezuela,493
Papua New Guinea,248
Egypt,231
Yemen,8
Mauritania,0
Eq. Guinea,7
Gambia,0
Hong Kong,0
Vatican,0
N. Cyprus,0
Cyprus U.N. Buffer Zone,0
Siachen Glacier,0
Baikonur,0
Akrotiri,0
Southern Patagonian Ice Field,0
Bir Tawil,0
Antarctica,4
Australia,9898
Greenland,0
Fiji,15
New Zealand,39
New Caledonia,9
Madagascar,6589
Philippines,1
Sri Lanka,157
Curaçao,0
Aruba,0
Bahamas,13
Turks and Caicos Is.,0
Taiwan,6
Japan,130
St. Pierre and Miquelon,0
Iceland,0
Pitcairn Is.,0
Fr. Polynesia,0
Fr. S. Antarctic Lands,0
Seychelles,0
Kiribati,0
Marshall Is.,0
Trinidad and Tobago,1
Grenada,0
St. Vin. and Gren.,0
Barbados,0
Saint Lucia,0
Dominica,0
U.S. Minor Outlying Is.,0
Montserrat,0
Antigua and Barb.,0
St. Kitts and Nevis,1
U.S. Virgin Is.,0
St-Barthélemy,0
Puerto Rico,0
Anguilla,0
British Virgin Is.,0
Jamaica,3
Cayman Is.,0
Bermuda,0
Heard I. and McDonald Is.,0
Saint Helena,0
Mauritius,1
Comoros,6
São Tomé and Principe,0
Cabo Verde,0
Malta,0
Jersey,0
Guernsey,0
Isle of Man,0
Åland,0
Faeroe Is.,0
Indian Ocean Ter.,0
Br. Indian Ocean Ter.,0
Singapore,0
Norfolk Island,0
Cook Is.,0
Tonga,0
Wallis and Futuna Is.,0
Samoa,0
Solomon Is.,3
Tuvalu,0
Maldives,0
Nauru,0
Micronesia,0
S. Geo. and the Is.,0
Falkland Is.,0
Vanuatu,3
Niue,0
American Samoa,0
Palau,0
Guam,0
N. Mariana Is.,0
Bahrain,7
Coral Sea Is.,0
Spratly Is.,0
Clipperton I.,0
Macao,0
Ashmore and Cartier Is.,0
Bajo Nuevo Bank,0
Serranilla Bank,0
Scarborough Reef,0
